supermarket,category,product_name,product_id,price,cup_price,product_url,img_url,viewed_date
 ALDI Australia,Spirits ,Highland Earl Blended Scotch Whisky 700ml,alsphi1,$32.99,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/highland-earl-blended-scotch-whisky-700ml-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Spirits/Products/ALN2364_AWARDS_SPIRITS_1x1_228x128_5.jpg,2020-09-10 20:20:07
 ALDI Australia,Spirits ,Tamova Quadruple Distilled Vodka 700ml,alspta2,$29.99,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/tamova-quadruple-distilled-vodka-700ml-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Spirits/Products/Q4_2019/ALN2619_Q4_WEB_AUDIT_SPIRITS_1x1_228x128_.jpg,2020-09-10 20:20:07
 ALDI Australia,Spirits ,Darley’s London Style Gin 700ml,alspda3,$29.99,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/darleys-london-style-gin-700ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Spirits/Products/ALN2364_AWARDS_SPIRITS_1x1_228x128_6.jpg,2020-09-10 20:20:07
 ALDI Australia,Spirits ,Highland Black 8YO Blended Scotch Whisky 700ml,alsphi4,$36.99,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/highland-black-8yo-blended-scotch-whisky-700ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Spirits/Products/ALN2364_AWARDS_SPIRITS_1x1_228x128_.jpg,2020-09-10 20:20:07
 ALDI Australia,Spirits ,Bluegrass Kentucky Bourbon 700ml,alspbl5,$29.99,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/bluegrass-kentucky-bourbon-700ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Spirits/Products/ALN2364_AWARDS_SPIRITS_1x1_228x128_2.jpg,2020-09-10 20:20:07
 ALDI Australia,Spirits ,Jim Beam Bourbon 700mL,alspji6,$37.95,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/jim-beam-bourbon-700ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/2019/Spirits/ALN2218_Jim_Beam_Bourbon_700ml_1x1_228x128.jpg,2020-09-10 20:20:07
 ALDI Australia,Spirits ,Baroque Brandy 700ml,alspba7,$29.99,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/baroque-brandy-700ml-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Spirits/Products/ALN2364_AWARDS_SPIRITS_1x1_228x128_7.jpg,2020-09-10 20:20:07
 ALDI Australia,Spirits ,O’Donnells Irish Country Cream Liqueur 700ml,alspo’8,$13.99,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/odonnells-irish-country-cream-liqueur-700ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Spirits/Products/ALN2364_AWARDS_SPIRITS_1x1_228x128_3.jpg,2020-09-10 20:20:07
 ALDI Australia,Spirits ,Bluegrass Kentucky Straight Bourbon Whiskey & Cola 6pk,alspbl9,$17.99,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/bluegrass-kentucky-straight-bourbon-whiskey-cola-6/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/Liquor_Products_Phase_4/ALC7312_LIQUOR_1x1s_228x128_6.jpg,2020-09-10 20:20:07
 ALDI Australia,Spirits ,Striganov Vodka Crush Raspberry 4pk,alspst10,$9.99,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/striganov-vodka-crush-crush-raspberry-4pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Spirits/Products/ALN2364_AWARDS_SPIRITS_1x1_228x128_8.jpg,2020-09-10 20:20:07
 ALDI Australia,Spirits ,Striganov Vodka Crush Guava 4pk,alspst11,$9.99,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/striganov-vodka-crush-guava-4pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Spirits/Products/ALN2364_AWARDS_SPIRITS_1x1_228x128_9.jpg,2020-09-10 20:20:07
 ALDI Australia,Spirits ,Striganov Vodka Crush Lemon Lime 4pk,alspst12,$9.99,0,https://www.aldi.com.au/en/groceries/liquor/spirits/spirits-detail/ps/p/striganov-vodka-crush-lemon-lime-4pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Spirits/Products/ALN2364_AWARDS_SPIRITS_1x1_228x128_10.jpg,2020-09-10 20:20:07
